Title,Address,Latitude,Longitude,maddress,status,geocoder,Website 
Firehouse North is the gallery space of a collaborative art collective spread across the bay.Firehouse exhibits the work of aspiring bay area artists.The collective hosts art studios across the Bay and has a close working relationship with the artists.They hold Art opening parties on the second Friday of every month and life drawing is offered for $20 every Tuesday.Admission is free. Find more information at http://firehouseartcollective.blogspot.com/,1790 Shattuck Ave Berkeley CA 94709,37.874977,-122.268929,1790 Shattuck Ave Berkeley CA 94709,Match,Google,http://firehouseartcollective.blogspot.com/
Ames Gallery has been open since 1970 and focuses on outsider art and exhibiting art of the untrained;the art brut.The space exhibits and sells this Americana folk art both antique and new.The space is one of the only galleries in the bay to exhibit non-trained art.Admission is free.Get down soon!The gallery will be permanently closing its doors soon. Find more information at http://www.amesgallery.com/,2661 Cedar St Berkeley CA 94708,37.880036,-122.257935,2661 Cedar St Berkeley CA 94708,Match,Google,http://www.amesgallery.com/
ACCI Gallery is a long established art collective;as quoted on their website they are the oldest Arts and Crafts co-op West of the Missippi.With art ranging from jewelry to ceramics the gallery displays the work of a co-operative group of established bay area artists.The spaces also offers various workshops.Free admission.Mon-Sat:11am-6pm;Sun:12pm-5pm.Find more information at http://www.accigallery.com/,1652 Shattuck Ave Berkeley CA 94709,37.877329,-122.269309,1652 Shattuck Ave Berkeley CA 94709,Partial Match,Google,http://www.accigallery.com/
Berkeley Art Center is a large community oriented Arts space.They hold various exhibitions as well as housing a permanent outdoor sculpture patio.The space is designed to act as a creative hub for the people of Berkeley.Open Wed-Sun:11am-5pm.Find more information at http://www.berkeleyartcenter.org/,1275 Walnut St Berkeley CA 94709,37.884510,-122.268235,1275 Walnut St Berkeley CA 94709,Partial Match,Google,http://www.berkeleyartcenter.org/
Art House Gallery and Cultural Center is a small gallery and event space. Open from Friday 7pm-10pm and Saturday/Sunday 12pm-10pm the space also holds sales of vintage records and posters. The space holds many musical events that can be found on there Facebook page at:https://www.facebook.com/arthousegallery2905/. Find more information at berkeleyarthouse.wordpress.com,2905 Shattuck Ave Berkeley CA 94705,37.856434,-122.266362,2905 Shattuck Ave Berkeley CA 94705,Match,Google,berkeleyarthouse.wordpress.com
Expressions Gallery is an independent gallery which displays the work of local and international artists. With a strong community spirit the gallery encourages visitors to explore the gallery and also take advantage of the various art classes held within the space. They space is also available to rent and host your own events and groups. The space is open Wednesday-Saturday: 12pm-5pm and Sundays from 12pm-3pm. Find more information at http://www.expressionsgallery.org/,2035 Ashby Ave Berkeley CA 94703,37.855330,-122.268031,2035 Ashby Ave Berkeley CA 94703,Partial Match,Google,http://www.expressionsgallery.org/
Thousand Oaks Art Gallery offers a large variety of art in a variety of mediums including photography and metal work. The work operates as a commercial space and much of the art is for sale. There are photography classes offered for $100 per day. The gallery is open Tuesday-Saturday: 11am-6pm. Find more information at http://www.thousandoaksartgallery.com/,1749 Solano Ave Berkeley CA 94707,37.891497,-122.280972,1749 Solano Ave Berkeley CA 94707,Match,Google,http://www.thousandoaksartgallery.com/
Kala Art Gallery is a gallery and creative centre that focuses on funding the creative process of working artists. Opened in 1974 Kala maintains artists in residence and offers various funding oppurtunities to artists. The space curates in house exhibitions of work produced. With a basis in the production of art there is art equipment and studio spaces available to the public through many classes. The space also runs many educational programs. The gallery is open Tuesday-Friday: 12pm-5pm and Saturday 12-4:30pm.Find more information at http://www.kala.org/,2990 San Pablo Ave Berkeley CA 94702,37.853084,-122.287444,2990 San Pablo Ave Berkeley CA 94702,Match,Google,http://www.kala.org/
TR!CKSTER is a small gallery spaced with a creator-owned focus with comic and graphic art being the central medium. The space acts as the centre of a nation wise art group and aims at celebrating and sharing the work of upcoming artists and designers. They also host pop-up events. Find more information at Tuesday-Sunday: 11am-7pm. the website is https://trickstertrickster.com,2631 Ashby Ave Berkeley CA 94705,37.857194,-122.253571,2631 Ashby Ave Berkeley CA 94705,Match,Google,https://trickstertrickster.com
Trax Ceramics Gallery is a ceramics gallery near Mclaughlin Eastshore State Park. The space collects and displays ceramic artists from across the United States. There are around 6 temporary exhibtions held in the gallery per year. Find more information at https://traxgallery.com/,1812 Fifth Street Berkeley CA 94710,37.869703,-122.299732,1812 Fifth Street Berkeley CA 94710,Match,Google,https://traxgallery.com/
